Rated voltage (V),Capacitance (±20 %) (μF),tan δ (120 Hz / +20 ℃)
4.0,33.0,0.35
4.0,47.0,0.35
4.0,100.0,0.35
4.0,220.0,0.35
6.3,22.0,0.24
6.3,33.0,0.24
6.3,47.0,0.24
6.3,100.0,0.24
6.3,330.0,0.24
10.0,22.0,0.2
10.0,33.0,0.2
10.0,47.0,0.2
10.0,100.0,0.2
10.0,220.0,0.2
16.0,10.0,0.16
16.0,22.0,0.16
16.0,33.0,0.16
16.0,47.0,0.16
16.0,100.0,0.16
25.0,4.7,0.14
25.0,10.0,0.14
25.0,22.0,0.14
25.0,33.0,0.14
25.0,100.0,0.14
35.0,3.3,0.12
35.0,4.7,0.12
35.0,10.0,0.12
35.0,22.0,0.12
35.0,33.0,0.12
35.0,47.0,0.12
50.0,2.2,0.1
50.0,3.3,0.1
50.0,4.7,0.1
50.0,10.0,0.1
50.0,22.0,0.1
